,Title,Year,fandom,Media
813,MACHIKADO MAZOKU: 2-CHOUMETHE DEMON GIRL NEXT DOOR 2,2022,Ado,Anime
2456,KAGINADO SEASON 2KAGI-NADO,2022,Ado,Anime
4350,NIGHT OF SHADOWS,2022,Ado,Manga
142,KAGE NO JITSURYOKUSHA NI NARITAKUTE! 2ND SEASONTHE EMINENCE IN SHADOW SEASON 2,2023,Ado,Anime
4595,PARADOX LIVE THE ANIMATION,2023,Ado,Anime
1125,SAIHATE NI MADOU,2023,Ado,Manga
4362,THE ARCHDUKE'S ADOPTED SAINT,2023,Ado,Manga
5476,THE UNINTENTIONALLY IDEAL ADOPTED DAUGHTER,2023,Ado,Manga
5945,TORIMA MINSHUKU YADORI-TEKI NA!,2023,Ado,Manga
9208,I ADOPTED A VILLAINOUS DAD,2023,Ado,Manga
1279,ORPHEUS NO MADO,5 to,Ado,Manga
1798,FUKUYADOU HONPO,5 to,Ado,Manga
5233,BLACK PARADOX,7 to,Ado,Manga
6246,"HIMITSU NO SHITSUJI-KUN (THE SECRET BUTLER; THE PERSON THAT SHE LIKES; THINK OF YOU, CLAVIER; WOULD YOU LIKE TO ADOPT AND RAISE A BEAUTY?)",?,Ado,Manga
1383,AGGRESSIVE RETSUKOAGGRETSUKO,2016,Aggretsuko,Anime
1828,AIKATSU!,2012,Aikatsu,Anime
1298,AIKATSU STARS!,2016,Aikatsu,Anime
2981,AIKATSU FRIENDS!,2018,Aikatsu,Anime
3212,AIKATSU FRIENDS!: KAGAYAKI NO JEWEL,2019,Aikatsu,Anime
3905,AIKATSU ON PARADE!,2019,Aikatsu,Anime
28,AKATSUKI NO YONA (YONA OF THE DAWN),2009,Akatsuki no Yona,Manga
569,AKATSUKI NO YONAYONA OF THE DAWN,2014,Akatsuki no Yona,Anime
225,SHOUSETSU AKATSUKI NO YONA: ONAJI TSUKI NO SHITA DE,2015,Akatsuki no Yona,Manga
9533,"KIRAKIRA HIKARE (TWINKLE, TWINKLE AND GET HIT)",,Akira,Manga
55,AKIRA,1982,Akira,Manga
5024,YUMEYUME KIRAKIRADOU (YUME KIRA DREAM SHOPPE),2005,Akira,Manga
9729,KIMI WA KIRAKIRA,2008,Akira,Manga
3882,KIRAKIRA NO HIBI,2010,Akira,Manga
9644,KIRAKIRA,2010,Akira,Manga
5106,KAREKORE KIRAKIRA MACHI,2014,Akira,Manga
5377,OUJI GA WATASHI WO AKIRAMENAI! (THE PRINCE'S ROMANCE GAMBIT),2015,Akira,Manga
8770,KIRAKIRA☆STUDY: ZETTAI GOUKAKU SENGEN (KIRAKIRA☆STUDY: PASS THE UNIVERSITY ABSOLUTELY),2015,Akira,Manga
3191,KIRAKIRA☆PRECURE A LA MODE,2017,Akira,Anime
9653,ANSATSUSHA DE ARU ORE NO STATUS GA YUUSHA YORI MO AKIRAKA NI TSUYOI NO DA GA (MY STATUS AS AN ASSASSIN OBVIOUSLY EXCEEDS THE HERO'S),2017,Akira,Manga
6098,AKIRA-KUN KAMOSHIRENAISHI AKIRA-CHAN KAMOSHIRENAI,2020,Akira,Manga
9400,VAMPIRE-SAMA GA AKIRAMENAI! (THIS VAMPIRE WON'T GIVE UP!),2020,Akira,Manga
5184,KUIMONODOKORO AKIRA (DINING BAR AKIRA),7,Akira,Manga
8863,KIRAKIRA 100% (SPARKLE SPARKLE 100%),?,Akira,Manga
9544,TORIYAMA AKIRA ○-SAKU GEKIJOU (AKIRA TORIYAMA'S MANGA THEATER),Oct,Akira,Manga
214,IMAWA NO KUNI NO ALICE (ALICE IN BORDERLAND),2010,Alice in Borderland,Manga
6167,IMAWA NO KUNI NO ALICE RETRY (ALICE IN BORDERLAND RETRY),2020,Alice in Borderland,Manga
7420,AMONG US,2022,Among Us,Manga
2243,JIKYUU 300-EN NO SHINIGAMI (THE WAGE OF ANGEL OF DEATH IS 300 YEN PER HOUR.),2020,Angels of Death,Manga
1018,AO NO EXORCIST (BLUE EXORCIST),2009,Ao no Exorcist,Manga
1830,AO NO EXORCISTBLUE EXORCIST,2011,Ao no Exorcist,Anime
2118,AO NO EXORCIST,2011,Ao no Exorcist,Manga
2384,AO NO EXORCIST: KYOTO FUJOUOU-HENBLUE EXORCIST: KYOTO SAGA,2017,Ao no Exorcist,Anime
158,KUSURIYA NO HITORIGOTO (THE APOTHECARY DIARIES),2014,Apothecary Diaries,Manga
2753,KUSURIYA NO HITORIGOTO: MAOMAO NO KOUKYUU NAZOTOKI TECHOU,2017,Apothecary Diaries,Manga
34,KUSURIYA NO HITORIGOTOTHE APOTHECARY DIARIES,2023,Apothecary Diaries,Anime
3482,RENSOU NO ARIA,,Aria,Manga
9224,AKUMA NO OMISE: SHADOW & MARIA (NIGHTMARES FOR SALE),,Aria,Manga
1434,MARIA-SAMA GA MITERU,1998,Aria,Manga
78,ARIA,2002,Aria,Manga
7561,ORION NO SHOUNEN: AQUARIAN AGE (AQUARIAN AGE: JUVENILE ORION),2003,Aria,Manga
1364,MARIA-SAMA GA MITERU: HARUMARIA WATCHES OVER US: PRINTEMPS,2004,Aria,Anime
2651,MARIA-SAMA GA MITERUMARIA WATCHES OVER US,2004,Aria,Anime
1231,ARIA THE ANIMATION,2005,Aria,Anime
7222,HISHOKA DROP (SECRETARIAL SECTION DROP),2005,Aria,Manga
388,ARIA THE NATURAL,2006,Aria,Anime
611,PLANETARIAN: CHIISANA HOSHI NO YUME,2006,Aria,Manga
2165,ARIA SPECIAL NAVIGATIONS,2006,Aria,Manga
4622,MAYONAKA NO ARIADNE,2006,Aria,Manga
5419,VARIANTE,2006,Aria,Manga
6200,MARIA†HOLIC,2006,Aria,Manga
134,ARIA THE ORIGINATION,2008,Aria,Anime
1330,HIDAN NO ARIA (ARIA THE SCARLET AMMO),2008,Aria,Manga
9535,JUNKETSU NO MARIA (MARIA THE VIRGIN WITCH),2008,Aria,Manga
1067,MARIA-SAMA GA MITERU 4THMARIA WATCHES OVER US SEASON 4,2009,Aria,Anime
3166,TATAKAU SHISHO: THE BOOK OF BANTORRAARMED LIBRARIANS: THE BOOK OF BANTORRA,2009,Aria,Anime
4155,MARIA†HOLIC,2009,Aria,Anime
48,UTSURO NO HAKO TO ZERO NO MARIA (THE EMPTY BOX AND ZEROTH MARIA),2009,Aria,Manga
1309,WORKING!!WAGNARIA!!,2010,Aria,Anime
2416,HIDAN NO ARIA AA (ARIA THE SCARLET AMMO DOUBLE A),2010,Aria,Manga
9076,FUSHIGI NO MARIA-KUN,2010,Aria,Manga
906,WORKING'!!WAGNARIA!!2,2011,Aria,Anime
4322,MARIA†HOLIC ALIVE,2011,Aria,Anime
7369,AKATSUKI NO ARIA,2012,Aria,Manga
8041,DAITOSHOKAN NO HITSUJIKAI (A GOOD LIBRARIAN LIKE A GOOD SHEPHERD),2012,Aria,Manga
849,TATE NO YUUSHA NO NARIAGARI (THE RISING OF THE SHIELD HERO),2013,Aria,Manga
4778,DAITOSHOKAN NO HITSUJIKAIA GOOD LIBRARIAN LIKE A GOOD SHEPHERD,2014,Aria,Anime
9174,JUNKETSU NO MARIA: EXHIBITION (MARIA THE VIRGIN WITCH: EXHIBITION),2014,Aria,Manga
664,WORKING!!!WAGNARIA!!3,2015,Aria,Anime
3634,JUNKETSU NO MARIAMARIA THE VIRGIN WITCH,2015,Aria,Anime
41,HONZUKI NO GEKOKUJOU: SHISHO NI NARU TAME NI WA SHUDAN WO ERANDEIRAREMASEN (ASCENDANCE OF A BOOKWORM: I'LL DO ANYTHING TO BECOME A LIBRARIAN!),2015,Aria,Manga
1222,"HONZUKI NO GEKOKUJOU: SHISHO NI NARU TAME NI WA SHUDAN WO ERANDEIRAREMASEN DAI 1-BU - HON GA NAI NARA TSUKUREBA II! (ASCENDANCE OF A BOOKWORM: I'LL DO ANYTHING TO BECOME A LIBRARIAN! PART 1 - IF THERE AREN'T ANY BOOKS, I'LL JUST HAVE TO MAKE SOME!)",2015,Aria,Manga
2158,WWW.WORKING!!WWW.WAGNARIA!!,2016,Aria,Anime
5980,ZOMBIE MARIA,2016,Aria,Manga
334,BOY MEETS MARIA,2017,Aria,Manga
952,HONZUKI NO GEKOKUJOU: SHISHO NI NARU TAME NI WA SHUDAN WO ERANDEIRAREMASEN DAI 2-BU - HON NO TAME NARA MIKO NI NARU! (ASCENDANCE OF A BOOKWORM: I'LL DO ANYTHING TO BECOME A LIBRARIAN! PART 2 - I'LL EVEN JOIN THE TEMPLE TO READ BOOKS!),2018,Aria,Manga
1193,HONZUKI NO GEKOKUJOU: SHISHO NI NARU TAME NI WA SHUDAN WO ERANDEIRAREMASEN DAI 3-BU - RYOUCHI NI HON WO HIROGEYOU! (ASCENDANCE OF A BOOKWORM: I'LL DO ANYTHING TO BECOME A LIBRARIAN! PART 3 - LET'S SPREAD BOOKS THROUGH THE DUCHY!),2018,Aria,Manga
1335,HONZUKI NO GEKOKUJOU: SHISHO NI NARU TAME NI WA SHUDAN WO ERANDEIRAREMASEN - KIZOKUIN GAIDEN (ASCENDANCE OF A BOOKWORM: I'LL DO ANYTHING TO BECOME A LIBRARIAN! - ROYAL ACADEMY STORIES),2018,Aria,Manga
1911,KODAMA MARIA BUNGAKU SHUUSEI,2018,Aria,Manga
9288,TATE NO YUUSHA NO NARIAGARI ANTHOLOGY: RAPHTALIA TO ISSHO,2018,Aria,Manga
9980,ACARIA,2018,Aria,Manga
662,TATE NO YUUSHA NO NARIAGARITHE RISING OF THE SHIELD HERO,2019,Aria,Anime
