,fandom,other_fandom,name,circle_code,event,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,sampleworks_images,substring
644,SPIDERVERSE,"GENSHIN IMPACT, HONKAI STAR RAIL, DELTARUNE/UNDERTALE, CHAINSAW MAN, BTS, HAMTARO, KIRBY, HELLUVA BOSS, (AND MORE TBA)",The Hooligans,G-13ab,CF17,,https://instagram.com/mokkamerch?igshid=NjIwNzIyMDk2Mg==,https://twitter.com/gluckose,,,RE
647,WESTERN MOVIES/SERIES/ANIMATION,"VOCALOID, NINTENDO, MARVEL, ADVENTURE TIME, POKEMON, THE OWL HOUSE, ARCANE, TF2, SPIDERVERSE",Doa (W)ibu,G-15ab,CF17,,https://www.instagram.com/p/CyS7odTPs-U/?img_index=1,https://twitter.com/mewy101/status/1712352022786404485,,,RE
651,MARVEL,"DC, CREEPYPASTA, HOMESTUCK",Across the Fandom-verse,G-18ab,CF17,,,,,,RE
655,ANIME,"CARTOON, GHIBLI, FIVE NIGHTS AT FREDDY, GUNDAM, ADVENTURE TIME, SKIP AND LOAFER, KIMI NI TODDLE, CHILDREN OF THE SEA, FRIEREN",The Warungs Ayam,G-21ab,CF17,,https://instagram.com/bulbatsur?igshid=NzZlODBkYWE4Ng== https://instagram.com/nasywanst_?igshid=NzZlODBkYWE4Ng== https://instagram.com/mono.stygian?igshid=NzZlODBkYWE4Ng==,,,,RE
656,MINECRAFT,"TTRPG HORROR, MCYT, STREAMERS, HOLOSTAR, HOLOLIVE, GOOD OMENS, SUPERNATURAL, FNAF, TADC, SPIDERVERSE, MAIRUMA, KNY, SPY X FAMILY, COOKIE RUN, HONKAI STAR RAIL, NEW JEANS",Mining & Crafting,G-22ab,CF17,,,,,,RE
666,ENSEMBLE STARS,"VOCALOID, LIMBUS COMPANY, NEEDY STREAMER OVERLOAD, ARKNIGHTS",Iridescent Galerie,G-28ab (SUN),CF17,,https://instagram.com/sunday.high/,https://twitter.com/sundayhiigh/,,,RE
668,ENSEMBLE STARS,"PROJECT SEKAI, HONKAI STAR RAIL, BLUE LOCK, TWISTED WONDERLAND, MXTX, HUNTERXHUNTER, RECORD OF RAGNAROK, COOKIE RUN",Dawet Anget,G-29b (SUN),CF17,https://www.facebook.com/mitsu.kuna,https://instagram.com/kusakasu_?utm_source=qr&igshid=MzNlNGNkZWQ4Mg,https://twitter.com/tahusegienam?t=ecnRa2cHJ_mhgX3YPLGg&s=9,,,RE
673,MAHOUTSUKAI NO YAKUSOKU,"SLAM DUNK, IDOLISH7, OMNISCIENT READER’S VIEWPOINT",YamaMiMi,G-31b (SUN),CF17,,,"https://twitter.com/jiyulie , https://twitter.com/inkaognito",,,RE
678,ENSEMBLE STARS!!,"GENSHIN IMPACT, JUJUTSU KAISEN, HONKAI STAR RAIL, CHAINSAWMAN, LIMBUS COMPANY, TOKYO REVENGER, BOKU NO HERO ACADEMIA, SENGOKU A LIVE, OMNISCIENT READER'S VIEWPOINT, SCUM VILLAIN",Kingdomes el Satiro,G-36a,CF17,,,,,,RE
682,HAIKYUU,"ORIGINAL, JUJUTSU KAISEN, HAIKYUU, TOKYO REVENGERS, SPY X FAMILY, FRUIT BASKET, HOLOLIVE, BOCCHI THE ROCK, KUROKO NO BASUKE",Jupiterbear,G-38a,CF17,,https://instagram.com/jupiterbear_x?igshid=MzRlODBiNWFlZA==,,,,RE
